慎重	しんちょう	discretion, prudence
共闘	きょうとう	joint struggle, united front.
要請	ようせい	claim, demand, request.
独走	どくそう	working alone, not with your partners (negative)
反発	はんぱつ	repulsion, rebound, opposition
辞任	じにん	resignation
救う	すくう	rescue, help out
説得	せっとく	persuasion
努める	つとめる	to exert oneself, make an effort
即時	そくじ	immediately, promptly
主要	しゅよう	main, head (headlines)
発足	はっそく	starting, inaugeration
傘下	さんか	affiliated, under the umbrella
総合	そうごう	synthesis, integration
頭取	とうどり	bank president
控え	ひかえ	note, memo
稼ぐ	かせぐ	work, earn an income
稼ぎ	かせぎ	income, earnings
疑惑	ぎわく	doubt, misgivings
査察	ささつ	inspection for compliance, tax investigation.
弾道	だんどう	ballistic
遺漏	いろう	omission
遺漏なく	いろうなく	complete, without omission
永住	えいじゅう	permanent residence
盛り込む	もりこむ	to include, incorporate
円滑	えんかつ	harmony, smoothness
参院	さんいん	House of Councillors
区分	くぶん	division, sorting, demarcation etc.
立て替える	たてかえる	rebuild, reconstruct
老朽	ろうきゅう	decreptitude, outworn
損傷	そんしょう	damage, injury
居住	きょじゅう	residence
解禁	かいきん	lifiting a ban
抑制	よくせい	suppression
開拓	かいたく	reclamation, pioneer
獲得	かくとく	possession
実質	じっしつ	substance, essence
奪還	だっかん	recovery, recapture
返り咲く	かえりざく	to come back, bloom a second time
収める	おさめる	to obtain, reap, accept, pay
原資	げんし	capital, principle.
統合	とうごう	integration, unification
足らず	たらず	just under, a little less.
上期	かみき	first half of the year.
懸念	けねん	worry, fear, concern
専念	せんねん	give undivided attention to
監禁	かんきん	confinement
控訴審	こうそしん	appeal trial
懲役	ちょうえき	penal servitude
略取	りゃくしゅ	abduction
併合罪	へいごうざい	concurrent offenses.
処断	しょだん	judgement.
実刑	じっけい	jail sentence
検察	けんさつ	prosecutor, examination
楽曲	がっきょく	musical composition, tune
秘書官	ひしょかん	minister's secretary
革命	かくめい	revolution
一先ず	ひとまず	for the present, once, in outline
脱退	だったい	secession
核拡散	かくかくさん	nuclear proliferation
保障	ほしょう	guarantee, security.
発効	はっこう	coming into effect
声明	せいめい	declaration, statement
理事	りじ	director, board of directors
師匠	ししょう	master, teacher
異例	いれい	exceptional, unprecedented
実父	じっぷ	real father
認知	にんち	acknowledgement, recognition
馴染み	なじみ	intimacy, friend
乱立	らんりつ	flood of candidates
規格	きかく	standard, norm
理念	りねん	idea
包括	ほうかつ	inclusion, comprehension
奏効	そうこう	success, fruition
沿革	えんかく	history, development
決算	けっさん	balance sheet, settlement of accounts
節税	せつぜい	tax reduction
手法	しゅほう	technique
付加価値	ふかかち	added value
