政治筋	せいじすじ	government something
首相	しゅしょう	prime minister
検討	けんとう	investigate
重視	じゅうし	to attach great importance
姿勢	しせい	posture, attitude
印象	いんしょう	impression
狙い	ねらい	aim
普及	ふきゅう	to spread, propogate
源	みなもと	the origin, the source
徹底	てってい	thoroughgoing, incorrigible
義務	ぎむ	duty, obligation
表向き	おもてむき	officialy
装う	よそおう	to be dressed, adorned; to pretend
混乱	こんらん	confusion, disorder
模様	もよう	pattern, design
講義	こうぎ	lecture
維持	いじ	maintenance
意地	いじ	disposition, nature, willpower
証人	しょうにん	a witness
承認	しょうにん	approve, consent
該当	がいとう	to fall under, be applicable
街頭	がいとう	the street, on the street.
有効	ゆうこう	effective, valid
友好	ゆうこう	friendship
携帯	けいたい	carry, bring
形態	けいたい	shape, form
収穫	しゅうかく	harvest, crop
影響	えいきょう	influence, effect
与える	あたえる	give, present
相次ぐ	あいつぐ	successive
再発	さいはつ	recur, relapse
防止	ぼうし	prevention, check
強調	きょうちょう	emphasis, stress
説く	とく	explain. expound
周囲	しゅうい	circumference, periphery
劣らず	おとらず	not inferior.
舞台	ぶたい	stage
対照的	たいしょうてき	contrast, compare
描く	えがく	draw, paint
一断面	いちだんめん	a (cross) section
要請	ようせい	a request
要点	ようてん	the point, gist
保護	ほご	protection, custody
優先的	ゆうせんてき	priority
優勝	ゆうしょう	victory, champion
放射	ほうしゃ	emission, emanation
放送	ほうそう	broadcast
標語	ひょうご	motto, slogan
標本	ひょうほん	specimen, sample
要求	ようきゅう	demand. claim, request
方向	ほうこう	direction
政府	せいふ	the government
教育	きょういく	education
近代	きんだい	modern times
国家	こっか	nation, state
発展	はってん	develpment, growth
内部	ないぶ	interior, inside
現体制	げんたいせい	The current system
一致	いっち	coincidence, agreement
必要	ひつよう	necessary
期限	きげん	term, period
災害	さいがい	disaster, calamity
列島	れっとう	archipelego
記録	きろく	record, minutes
長雨	ながあめ	long period of rain
不正	ふせい	injust, unfair
異文化	いぶんか	interculteral
認識	にんしき	recognition, cognizance
研究者	けんきゅうしゃ	researcher
森林	しんりん	forest, woods
禁止	きんし	prohibition, ban
薬品	やくひん	medicine, chemicals
金庫	きんこ	safe, vault
野生	やせい	wild
動物	どうぶつ	animal
お年寄り	おとしより	old(people)
商売	しょうばい	trade, business, occupation
地中	ちちゅう	underground
微量	びりょう	miniscule amount
検出	けんしゅつ	detection, sense
被害	ひがい	damage
交通事故	こうつうじこ	traffic accident
昆虫	こんちゅう	insect, bug
選挙	せんきょ	election
将来	しょうらい	future, prospects
有効	ゆうこう	validity, effectivness
有利	ゆうり	advantageous, better
有益	ゆうえき	beneficial, profitable
有望	ゆうぼう	promising, good prospects
帰国	きこく	return to country
反応	はんのう	reaction, response
応用	おうよう	application, put to use
適応	てきおう	adoption, conformity
縮小	しゅくしょう	compress
短縮	たんしゅく	shortening, reduction
軽減	けいげん	abatement
減量	げんりょう	loss in quantity
詳細	しょうさい	detail, particulars
参照	さんしょう	reference, consultation
参考	さんこう	reference, consultation
解説	かいせつ	explanation, commentary
解釈	かいしゃく	explanation, interpretation
進路	しんろ	course, route
焦点	しょうてん	focus, point
開発	かいはつ	development,
波	なみ	wave
山村	さんそん	mountain village
画期的	かっきてき	epoch making
周期的	しゅうきてき	cycle, period
末期的	かっきてき	decadent, terminal
洪水	こうずい	flood
不通	ふつう	interruption, stoppage
復旧	ふっきゅう	restoration, rehabilitation
国際交流	こくさいこうりゅう	international exchange
寄与	きよ	contribution
気味	きみ	sensation, feeling
発足	はっそく	starting, inaugaration
過労気味	かろうぎみ	feeling tired, 
満場一致	まんじょういっち	unanimous
大気汚染	たいきおせん	air pollution	
規制	きせい	regulation
排気	はいき	exhaust, ventialation
