経緯	けいい	details, whole story
譲歩	じょうほ	concession, compromise
争い	あらそい	competition, rivalry
泥沼	どろぬま	a bog
様相	ようそう	aspect
故障	こしょう	breakdown, broken
廃棄物	はいきぶつ	waste material
悪癖	あくへき	bad habit
解消	かいしょう	cancellation.
根底	こんてい	root, foundation
気配	けはい	sign, indication
漂う	ただよう	to drift, float, wander
草花	くさばな	flower, flowering plant
名残	なごり	remains, farewell
惜しむ	おしむ	hold dear, grudge, reluctant
講義	こうぎ	lecture
抗議	こうぎ	protest, object
負債	ふさい	debt, liabilities
夫妻	ふさい	husband and wife
再三	さいさん	repeatedly
採算	さいさん	profit
意地	いじ	nature, will power
維持	いじ	maintenance
結晶	けっしょう	crystal.
決勝	けっしょう	finals
均衡	きんこう	balance, equilibrium
近郊	きんこう	suburbs
違反	いはん	violation, breach
非難	ひなん	criticism, blame
事情	じじょう	circumstances, reasons
正当	せいとう	just, fair
認められる	みとめられる	to be recognised
大規模	だいきぼ	large scale
災害	ざいかい	disaster, calamity
即座	そくざ	immediately. 
態勢	たいせい	prepared, ready
検討	けんとう	examination, investigation
浜辺	はまべ	beach, shore.
人影	ひとかげ	shadow, figure of a person
沖	おき	open sea
漁船	ぎょせん	fishing boat
淡い	あわい	light (colour), faint (hope)
配置	はいち	arrange, station
心配	しんぱい	care, worry
理想	りそう	an ideal, perfect
調理士	ちょうりし	cook, chef
促進	そくしん	promotion, acceleration, urging
催促	さいそく	repeated request, press a person
街頭	がいとう	street, on the street
口頭	こうとう	orally, verbal
制服	せいふく	uniform (clothes)
統制	とうせい	control, regulate
転勤	てんきん	job tranfer
勤勉	きんべん	diligent, industry
両者	りょうしゃ	two parties, both sides
姿勢	しせい	posture
裁判	さいばん	(law) trial
機械	きかい	machine, machinery
国民	こくみん	nation, a people
生活	せいかつ	a life, living
意識	いしき	consciousness
半ば	なかば	half done, half due
高原	こうげん	plateau
多額	たがく	large amount of money
無駄	むだ	useless, no use
顕微鏡	けんびきょう	microscope
勢力	せいりょく	power, influence
操業	そうぎょう	operations, operate
停止	ていし	stop, halt
青年	せいねん	youth, young man
免許	めんきょ	a licence
輸出	ゆしゅつ	export
絶える	たえる	cease
選挙	せんきょ	election
技術	ぎじゅつ	technique, art
開発	かいはつ	development
歴史	れきし	history
不景気	ふけいき	bad econimic conditions
続出	ぞくしゅつ	one after another
裁判官	さいばんかん	a judge, the court
判断	はんだん	judgement, to judge
本社	ほんしゃ	head office
支店	してん	branch office
研究室	けんきゅうしつ	research lab
驚く	おどろく	to be suprised at
加減	かげん	addition and subtraction
都合	つごう	conveniance
余地	よち	room, space
予言	よげん	prediction, prophecy
推進	すいしん	promote, propel
処置	しょち	dispose of, deal with
救援	きゅうえん	relief, rescue
救助	きゅうじょ	rescue, save
応急	おうきゅう	emergency, temporary
合間	あいま	interval, odd moments
手間	てま	time, trouble, bother
空間	くうかん	space, room
仲間	なかま	companion, mate
荷物	にもつ	load, goods, luggage
精神的	せいしんてき	mental, spiritual
首相	しゅしょう	prime minister
軽率	けいそつ	rashness, haste
発言	はつげん	speech, remark
良好	りょうこう	good, well
専門家	せんもんか	specialist
非常	ひじょう	an emergency
切実	せつじつ	urgent, pressing
敏感	びんかん	sensetive, 
迅速	じんそく	quick, swift
頻繁	ひんぱん	frequent, busy (street)
対面	たいめん	meeting, 
対比	たいひ	comparison, contrast
対処	たいしょ	cope, deal with
対等	たいとう	equal, same level
