彫刻	ちょうこく	sculpture, engraving
鮮やかな	あざやかな	vivid, bright
色彩	しきさい	colour, colouring
誇る	ほこる	be proud, boast
朽ち果てる	くちはてる	rot, crumble to dust
万能	ばんのう	all powerful, all round
迷信	めいしん	supersition, 
無条件	むじょうけん	unconditional, absolute
信仰	しんこう	faith, cult, belief
告げる	つげる	tell, announce
合間	あいま	intervals, spare time
夕闇	ゆうやみ	dusk
迫る	せまる	approach, press a person
街角	まちかど	street corner
不在	ふざい	abscence
夫妻	ふさい	husband and wife
風習	ふうしゅう	manners and customs
封鎖	ふうさ	blockade, freeze (funds)
交渉	こうしょう	negotiation, bargaining
高尚	こうしょう	advanced, sophisticated
児童	じどう	child, pupils
自動	じどう	automatic
障害	しょうがい	damage
要請	ようせい	a request
養成	ようせい	training, development
緩和	かんわ	relaxation, ease, relieve
漢和	かんわ	Japanese Kanji dict
指摘	してき	point out.
資料	しりょう	materials, data
提供	ていきょう	an offer, make an offer
助言	じょげん	advice, counsel
惜しまれる	おしまれる	uknown
離れる	はなれる	leave, be separated
企画	きかく	planning, project
宙	ちゅう	sky, air
状態	じょうたい	state, conditions
現れる	あらわれる	appear, show up
固く	かたく	be tense, 
約束	やくそく	promise
権力者	けんりょくしゃ	powerful or influential person
独裁	どくさい	dictatorship, despotism
阻止	そし	stop, prevent
理想	りそう	ideal
調理師	ちょうりし	chef, cook
順序	じゅんじょ	order, in good order
不順	ふじゅん	unseasonable, irregular
興奮	こうふん	excitement, agitation
振興	しんこう	promotion, advancement
収入	しゅうにゅう	income, earnings
吸収	きゅうしゅう	absorption, absorb
展示	てんじ	display, exhibition
発展	はってん	development, expansion.
異議	いぎ	objection, protest.
異常	いじょう	unusual, abnormal
以前	いぜん	before
優美	ゆうび	elegance, grace
科学	かがく	science
一種	いっしゅ	a kind, a sort
賃金	ちんぎん	wages
全般的	ぜんぱんてき	the whole, generally
消防車	しょうぼうしゃ	fire engine
製品	せいひん	product
規制	きせい	regulation
研究	けんきゅう	study
無事	ぶじ	safely, safety
予算	よさん	budget
高山植物	こうざんしょくぶつ	alpine plant
知識	ちしき	knowledge of, information
通知	つうち	notice, notification
経済的	けいざいてき	economic
非難	ひなん	critcism, blame
苦難	くなん	hardship, suffering
領土	りょうど	territory, domain
領事	りょうじ	consul
領域	りょういき	territory domain
領地	りょうち	territory, fief
期限	きげん	period, term
迷惑	めいわく	trouble, nuisance
感情的	かんじょうてき	emotional, feelings
博士論文	はくしろんぶん	doctoral dissertation
鼻	はな	nose
資金	しきん	funds,
利益	りえき	profit
運搬	うんぱん	transportation, conveyance
一挙	いっきょ	at a stroke.
一気	いっき	in one go
一斉	いっせい	all together
基準	きじゅん	a standard 
経緯	けいい	details
細胞	さいぼう	cell (biology)
帽子	ぼうし	hat, cap
水面	すいめん	water surface
区別	くべつ	difference, distinction, classification
年齢	ねんれい	age, an age
休暇	きゅうか	vacation
腰	こし	hips
田園	でんえん	fields, country
風景	ふうけい	scenery, landscape.
